1,لو سابك م 2,104.050.00,21.000.00,0,125.050.00,31000,31500,LDPE,2022 NJ HP
2,لو سابك م 2,155.200.000,23.900.00,7.750.00,186.850.000,30500,31000,LDPE,2023 NJ HP
3,لو اكسون موبيل م 3  ,3.035.000,0,0,3.035.000,0,0,LDPE,HP 151
4,لو سابك م 4,0,0,0,0,0,0,LDPE,HP 4023 WN
5,لو سابك م 4,1.000.000,0,0,1.000.000,0,0,LDPE,HP 4024 WN
6,لو صدارة م 4,0,0,0,0,0,0,LDPE,E 582
7,لو بروج م 7,6.300.000,0,0,6.300.000,30500,31000,LDPE,FT 8230
8,لو سابك شرنك,38.700.000,10.750.00,7.000.00,56.450.000,31000,31500,LDPE,HP 0722 NN
9,لو داو شرنك,0,0,1.375.00,1.375.000,0,31000,LDPE,310 E
10,لو صدارة شرنك,10.000,0,0,10.000,0,0,LDPE,312 E
11,لو سابك هيڤى,10.050.000,0,0,10.050.000,31500,32000,LDPE,323 NN
12,لو سابك هيڤى,225.000,0,0,225.000,0,0,LDPE,322 NN
13,لو اكسون موبيل هيڤى,0,0,0,0,0,0,LDPE,1 BW 165
14,مفتح - لو ايمريود هيڤى,0,0,0,0,0,0,LDPE,E 0319 LF
15,لو صدارة هيڤى,0,0,0,0,0,0,LDPE,E 150
16,لو هيڤى لو ايمري,3.450.000,0,0,3.450.000,0,32000,LDPE,M 0318 LF
17,إينابول أكسون موبيل - مفتح,0.,0,0,0,0,0,LDPE,4002 MC
18,إينابول أكسون موبيل ,0,0,0,0,0,0,LDPE,2005 MC
19,إينابول أكسون موبيل ,0,0,0,0,0,0,LDPE,2705 MC
20,إينابول أكسون موبيل ,2.475.000,0,0,2.475.000,0,27000,LDPE,2705 HH
21,اينابول أكسون موبيل ,0,0,0,0,0,0,LDPE,2010
22,ميتالوسين أكسون موبيل ,9.900.000,0,0,9.900.000,0,29000,LDPE,1012 MK
23,ميتالوسين مارلكس,11.732.000,2.750.000,42.600.00,57.082.000,0,27000,LDPE,D 139 FK
24,اكسيد اكسون موبيل ,17.375.000,0,118.225.00,135.600.000,0,27000,LDPE,0019 XC
25,اكسيد اكسون موبيل,0,0,17.875.00,17.875.000,0,27000,LDPE,0019 IM
26,METALLOCENE EXXON MOBILE EXCEED ,0,0,15.800.00,15.800.000,0,27000,LDPE,3518 CB
27,EXXON MOBILE EXCEED ,0,0,0,0,0,0,LDPE,0015 XC
28,EXXON MOBILE EXCEED ,7.200.000,1.950.00,0,9.150.000,0,29000,LDPE,2012 MA
29,EXXON MOBILE EXCEED ,1.350.000,0,0,1.350.000,0,29000,LDPE,2203 MC
30,EXXON MOBILE EXCEED ,200.000,0,0,200.000,0,29000,LDPE,1012 MA
31,EXXON MOBILE EXCEED ,0,0,4.675.00,4.675.000,0,27500,LDPE,3518 PA CA
32,EXXON MOBILE EXCEED ,0,0,20.600.00,20.600.000,0,27500,LDPE,4518 PA CA
33,EXXON MOBILE EXCEED ,12.650.00,0,0,12.650.000,0,27000,LDPE,XP PERFORMANCE
34,EXXON MOBILE EXCEED ,0,0,45.100.00,45.100.000,0,27000,LDPE,PERFORMANCE
35,EXXON MOBILE EXCEED ,0,0,400.00,400.000,0,27000,LDPE,3505 M
36,EXXON MOBILE EXCEED,0,0,6.750.00,6.750.000,0,27000,LDPE,3505 H
37,لنير بروج م 0.5,775.000,0,0,775.000,0,0,LLDPE,2230 FB
38,لينير سابك م 1 ناشف ,0,0,6.625.00,6.625.000,0,2600,LLDPE,118 NJ
39,لينير سابك م 1 ناشف,47.975.000,0,0,47.975.000,25300,25500,LLDPE,118 WJ
40,لينير ناشف م 1 بالاضافات - سى فور صدارة ,0,0,0,0,0,,LLDPE,1210
41,لينير سى فور صدارة م 1 ناشف,0,0,0,0,0,0,LLDPE,P 1211
42,لينير ايميرود م 1 +اضافات,500.000,0,0,500.000,0,0,LLDPE,E 1918
43,لنير انيوس 1 +اضافات ,0,100.000,0,100.000,0,0,LLDPE,6910 AA
44,لنير ايميرود م 1 +اضافات,4.025.00,0,0,4.025.000,24800,25000,LLDPE,LLF 3625HZ
45,لنير اكسون موبيل م 1+ اضافات,1.225.00,0,1.125.00,2.350.000,25500,25700,LLDPE,1001 BU
46,لنير اكسون موبيل م 1 ,0,0,0,0,0,0,LLDPE,1001 AV
47,لينر ايثدكو م 1 ناشف,0,1.000.00,0,1.000.000,0,27000,LLDPE,EE 1801 AAB
48,لينير سينبول م 1 ناشف,125.000,0,0,125.000,0,0,LLDPE,0118
49,لينير ايميرود م 3- لامينيشن+اضافات,28.350.000,950.000,0,29.300.000,25000,25200,LLDPE,LLF 63428Z
50,لينير ايميرود م 1 ناشف,0,0,0,0,0,0,LLDPE,LLO 61012
51,لينير ايميرود م 1 ناشف,425.000,0,0,425.000,0,0,LLDPE,LLF 61119Z
52,لينر ايميرود ,24.750.000,0,16.500.00,41.250.000,0,25000,LLDPE,60919 HH
53,LLDPE EMERAUDE ,2.275.000,0,21.425.00,23.700.000,0,25500,LLDPE,LLC 615018 Z
54,LLDPE EMERAUDE ,100.000,1.225.00,0,1.325.000,0,25500,LLDPE,LLF 62017 NE
55,LLDPE EMERAUDE ,1.475.000,5.100.00,0,6.575.000,0,25500,LLDPE,LLF 70520 Z
56,LLDPE EMERAUDE ,9.875.000,0,0,9.875.000,25000,25200,LLDPE,LLF 61112 HH
57,LLDPE EMERAUDE ,0,0,0,0,0,0,LLDPE,LLO 1017 Z
58,LLDPE EMERAUDE ,1.175.000,625.00,0,1.800.000,0,26000,LLDPE,LLF 60822 Z
59,لينير سابك م 2 طرى,256.625.000,6.000.00,15.000.00,277.625.000,27900,28000,LLDPE,218 NJ
60,لينير سابك م 2 طرى ,375.000,0,5.250.000,5.625.000,0,26000,LLDPE,218 WJ
61,لنير سى فور ,0,0,0,0,0,0,LLDPE,P 1050
62,لينير اكسون موبيل م 2 طرى ,0,0,0,0,0,0,LLDPE,1002 BU
63,لينير سينبول م 2 طرى ,0,0,0,0,0,0,LLDPE,0219 LL
64,لينير سى فور م 2 طرى,25.000,0,0,25.000,0,0,LLDPE,P 1220
65,لينير ارامكو ,142.800.000,0,0,0,28000,28200,LLDPE,2231 F
66,لينير اكسون موبيل ,0,0,0,0,0,0,LLDPE,LL 1002 AY
67,لينير اكسون موبيل م 3 استرتش  ,46.025.000,0,0,46.025.000,0,28500,LLDPE,AY 1004
68,لنير اكسون موبيل م 20,1.100.000,0,0,1.100.000,0,27000,LLDPE,6101 XR
69,لينير  سابك م 50 ,0,0,0,0,0,26500,LLDPE,500026 M
70,هاى سابك فيلم,198.400.00,4.725.00,28.000.00,231.125.000,28200,28500,HDPE,00952 F
71,هاى سابك فيلم,6.250.000,13.675.00,19.975.000,39.900.000,27500,27700,HDPE,00952 FJ
72,هاى بروج فيلم,0,0,0,0,0,0,HDPE,FB 1460
73,هاى بروج ميديم,236.750.000,5.875.00,16.500.00,259.125.000,26800,27000,HDPE,FB 1350
74,هاى مارلكس ميديم,2.875.000,0,0,2.875.000,26700,26800,HDPE,131 TR
75,هاى مارلكس,0,0,0,0,0,0,HDPE,144 TR
76,هاى سيدبك فيلم,0,0,9.000.00,9.000.000,27000,27300,HDPE,5301
77,هاى ايثدكو فيلم,25.000,0,0,25.000,27800,28000,HDPE,4811
78,هاى اكسون موبيل,0,25.000,0,25.000,0,0,HDPE,001
79,هاى اكسون موبيل,1.150.000,0,0,1.150.000,0,0,HDPE,002
80,هاى اكسون موبيل,0,0,0,0,0,0,HDPE,HTA 108
81,هاى ايثدكو ميديم ادفانسر,50.000,0,0,50.000,0,0,HDPE,EE 3914 AAH
82,هاى تصنيع فيلم,625.000,0,0,625.000,0,0,HDPE,0445 F
83,هاى سيدبك نفخ,7.500.000,72.000.00,42.000.00,121.500.000,31250,31500,HDPE,GA 5502
84,هاى مارلكس نفخ,2.250.000,0,16.475.00,18.725.000,0,30500,HDPE,5502
85,هاى مارلكس نفخ,0,0,0,0,0,0,HDPE,HXM 50100
86,هاى ايثدكو نفخ,0,0,0,0,0,0,HDPE,4925
87,هاى ايثدكو نفخ كبير ويمشي فيلم,0,0,0,0,0,0,HDPE,4810
88,هاى سيدبك حقن م 18,21.000.000,0,0,21.000.000,29500,30000,HDPE,5218 UA
89,هاى تصنيع حقن م 6,200.000,0,0,200.000,0,29000,HDPE,IM 2050
90,هاى سيدبك حقن م 7,2.650.000,0,0,2.650.000,31350,31500,HDPE,UA 6070
91,HDPE EXXON MOBILE,0,0,0,0,0,0,HDPE,025 HMA
92,هاى سيدبك حقن م 4,0,0,38.675.000,38.675.000,29500,30000,HDPE,5740 UA
93,هاى سيدبك نفخ,0,0,0,0,0,0,HDPE,EA 5301
94,هاى اكسون موبيل,35.650.000,2.475.00,0,38.125.000,27500,27800,HDPE,016 HTA
95,هاى اكسون موبيل,102.800.00,7.125.00,11.000.00,120.925.000,27500,27800,HDPE,018 HTA
96,هاى فرموزا تايسوك أسود,84.650.00,0,0,84.650.000,0,0,HDPE,BL 8001
97,HDPE SABIC,0,0,0,0,0,0,HDPE,4660 B
98,بولى بروبلين سابك سلفان ,700.000,525.00,125.00,1.350.000,0,0,PVC,P 520
99,HOMO M 25 - SABIC,100.000,0,0,100.000,0,0,PVC,P 5780 PP
100,30كوبليمر Moplen EP - بولى بروبلين بازل,0,0,0,0,0,32000,PVC,R 300 PP
101,19كوبليمر  Moplen EP - بولى بروبلين بازل,125.000,625.00,1.175.00,1.925.000,0,32000,PVC,548 Q
102,16كوبليمر Moplen EP - بولى بروبلين بازل,0,0,175.00,175.000,0,32000,PVC,548 p
103,44كوبليمر Moplen EP - بولى بروبلين بازل,0,0,0,0,0,0,PVC,548 S
104,70كوبليمر-Moplen EP - بولى بروبلين بازل,0,0,0,0,0,0,PVC,U 546
105,بولي بروبلين سابك فيبر - لامينيشن وخيوط,0,0,0,0,0,0,PVC,511 A
106,SABIC FIBER نسيج وحقن بدل - 5780,0,0,0,0,0,0,PVC,P 518 PP
107,ORPIC LUBAN فايبر,150.000,0,0,150.000,0,0,PVC,R 5101 PP
108,بولى بروبلين مارلكس-  رافيا م 3,0,0,0,0,0,0,PVC,030 SP
109,PP SABIC - رافيا,10.150.000,0,0,10.150.000,0,28000,PVC,P 506 PP
110,رافيا صينى ميلت 3,0,4.000.00,0,4.000.000,27250,27500,PVC,T 30 H
111,4 ميلت رافيا - بروبلري بوى,4.850.000,2.600.00,0,7.450.000,27250,27500,PVC,P 575
112,HOMO M 11 - PP SABIC,240.275.000,5.500.00,21.000.000,266.775.000,0,28500,PVC,P 575
113,بولي بروبلين ارامكو هوموم 15,179.250.000,500.00,0,179.750.000,0,27500,PVC,G 150 HP
114,R PP HYOSUNG,0,0,0,0,0,32500,PVC,P 200 R PP
115,BBR / RP LUBAN PP,0,13.075.00,9.000.000,22.075.000,32300,32500,PVC,6207 B
116,بى ڤى سى ڤينوليت,400.000,0,0,400.000,0,0,PVC,4170 S
117,بى ڤى سى كلوريد فنيل فورملون,0,0,20.000,20.000,0,0,PVC,622 F
118,بى ڤى سى كلوريد اوكسى فنيلر,0,0,13.000,13.000,0,0,PVC,P 225
119,بى ڤى سى ويست لاك,0,0,6.075.000,6.075.000,0,0,PVC,1100
120,PVC WESTLAKE KV 65,725.00,0,0,725.000,0,0,PVC,1091
121,PVC westlec kv 65,150.000,0,1.100.000,1.250.000,0,0,PVC,1230 P
122,بى ڤى سى أوكسى فينيل امريكي KV57,15.004.000,0,22.470.000,37.474.000,35800,36000,PVC,185 F
123,S/PVC KEM ONE LACOVYL KV 57,0,0,0,0,0,0,PVC,071 S
124,PVC FORMOSA FORMOLON KV 70,85.487.000,0,0,85.487.000,35800,36000,PVC,680
125,PVC CHINA GENERAL PLASTIC,320.600.000,0,0,320.600.000,35250,35500,PVC,H 73
126,PVC HANWHA CHEMICAL KV 66.67,0,0,0,0,0,0,PVC,GH 1000 P
127,PVC HANWHA CHEMICAL KV65.66,0,0,0,0,0,0,PVC,1000 F
128,PVC LG TL,0,0,0,0,0,0,PVC,1000
129,KEM ONE LACOVYL KV57,0,0,0,0,0,0,PVC,8010
130,PVC KEM ONE LACOVYL KV70 فرنساوي,0,0,0,0,0,0,PVC,7015 S
131,PVC70 AXIALL SUSPENSION RESINS امريك,0,0,0,0,0,0,PVC,1100
132,HANWHA HG,477.350.000,0,0,477.350.000,35250,35500,PVC,1300
133,PVC DG,108.325.000,0,0,108.325.000,35250,35500,PVC,1300
134,PVC LG TL,62.775.000,0,0,62.775.000,35250,35500,PVC,700
135,PVC HANWHA,75.650.000,0,0,75.650.000,33000,33500,PVC,1000 P
136,ABS KUMHO Petrochemical,0,0,0,0,0,0,PVC,750 SW
137,بولي استرين استيرنكس,1.300.000,0,0,1.300.000,0,0,PVC,G5000 PS
138,m10 injection / Formoza Tairirex GP,0,0,0,0,0,0,PVC,5000 PS
139,m7 injection / Formoza Tairirex GP,0,0,0,0,0,0,PVC,5250 PS
140,HIPS FORMOSA TAIRIREX HP,0,0,0,0,0,0,PVC,8250
141,MOPLEN,56.375.000,0,0,56.375.000,33000,33500,PVC,PP 6110
142,SOLARENE GPPS,1.700.000,1.075.00,0,2.775.000,0,0,PVC,144-G PS
143,m 4 /INEOS STYPOLUTION سحب,0,0,0,0,0,0,PVC,PS 486 N
144,EMERAUDE,25.000,0,0,25.000,0,0,PVC,PS 825
145,TOTAL CRYSTAL,0,0,0,0,0,0,PVC,1540 PS